guid,Category
ynat-v1_dev_00000,1
ynat-v1_dev_00001,2
ynat-v1_dev_00002,0
ynat-v1_dev_00003,1
ynat-v1_dev_00004,2
ynat-v1_dev_00005,2
ynat-v1_dev_00006,3
ynat-v1_dev_00007,2
ynat-v1_dev_00008,2
ynat-v1_dev_00009,2
ynat-v1_dev_00010,2
ynat-v1_dev_00011,2
ynat-v1_dev_00012,1
ynat-v1_dev_00013,2
ynat-v1_dev_00014,6
ynat-v1_dev_00015,1
ynat-v1_dev_00016,1
ynat-v1_dev_00017,3
ynat-v1_dev_00018,2
ynat-v1_dev_00019,2
ynat-v1_dev_00020,3
ynat-v1_dev_00021,1
ynat-v1_dev_00022,1
ynat-v1_dev_00023,2
ynat-v1_dev_00024,1
ynat-v1_dev_00025,3
ynat-v1_dev_00026,1
ynat-v1_dev_00027,1
ynat-v1_dev_00028,2
ynat-v1_dev_00029,3
ynat-v1_dev_00030,1
ynat-v1_dev_00031,1
ynat-v1_dev_00032,1
ynat-v1_dev_00033,3
ynat-v1_dev_00034,2
ynat-v1_dev_00035,1
ynat-v1_dev_00036,3
ynat-v1_dev_00037,2
ynat-v1_dev_00038,1
ynat-v1_dev_00039,2
ynat-v1_dev_00040,1
ynat-v1_dev_00041,2
ynat-v1_dev_00042,4
ynat-v1_dev_00043,2
ynat-v1_dev_00044,2
ynat-v1_dev_00045,5
ynat-v1_dev_00046,4
ynat-v1_dev_00047,2
ynat-v1_dev_00048,0
ynat-v1_dev_00049,2
ynat-v1_dev_00050,6
ynat-v1_dev_00051,2
ynat-v1_dev_00052,2
ynat-v1_dev_00053,5
ynat-v1_dev_00054,6
ynat-v1_dev_00055,2
ynat-v1_dev_00056,3
ynat-v1_dev_00057,5
ynat-v1_dev_00058,6
ynat-v1_dev_00059,1
ynat-v1_dev_00060,2
ynat-v1_dev_00061,5
ynat-v1_dev_00062,2
ynat-v1_dev_00063,6
ynat-v1_dev_00064,6
ynat-v1_dev_00065,2
ynat-v1_dev_00066,4
ynat-v1_dev_00067,2
ynat-v1_dev_00068,4
ynat-v1_dev_00069,1
ynat-v1_dev_00070,3
ynat-v1_dev_00071,1
ynat-v1_dev_00072,3
ynat-v1_dev_00073,2
ynat-v1_dev_00074,2
ynat-v1_dev_00075,4
ynat-v1_dev_00076,3
ynat-v1_dev_00077,5
ynat-v1_dev_00078,1
ynat-v1_dev_00079,5
ynat-v1_dev_00080,1
ynat-v1_dev_00081,1
ynat-v1_dev_00082,2
ynat-v1_dev_00083,2
ynat-v1_dev_00084,2
ynat-v1_dev_00085,3
ynat-v1_dev_00086,1
ynat-v1_dev_00087,4
ynat-v1_dev_00088,5
ynat-v1_dev_00089,1
ynat-v1_dev_00090,4
ynat-v1_dev_00091,1
ynat-v1_dev_00092,2
ynat-v1_dev_00093,2
ynat-v1_dev_00094,2
ynat-v1_dev_00095,4
ynat-v1_dev_00096,2
ynat-v1_dev_00097,1
ynat-v1_dev_00098,6
ynat-v1_dev_00099,1
ynat-v1_dev_00100,2
ynat-v1_dev_00101,2
ynat-v1_dev_00102,2
ynat-v1_dev_00103,2
ynat-v1_dev_00104,2
ynat-v1_dev_00105,1
ynat-v1_dev_00106,5
ynat-v1_dev_00107,6
ynat-v1_dev_00108,1
ynat-v1_dev_00109,3
ynat-v1_dev_00110,2
ynat-v1_dev_00111,3
ynat-v1_dev_00112,6
ynat-v1_dev_00113,1
ynat-v1_dev_00114,3
ynat-v1_dev_00115,2
ynat-v1_dev_00116,4
ynat-v1_dev_00117,3
ynat-v1_dev_00118,5
ynat-v1_dev_00119,2
ynat-v1_dev_00120,3
ynat-v1_dev_00121,6
ynat-v1_dev_00122,3
ynat-v1_dev_00123,3
ynat-v1_dev_00124,2
ynat-v1_dev_00125,5
ynat-v1_dev_00126,2
ynat-v1_dev_00127,5
ynat-v1_dev_00128,2
ynat-v1_dev_00129,1
ynat-v1_dev_00130,1
ynat-v1_dev_00131,1
ynat-v1_dev_00132,2
ynat-v1_dev_00133,5
ynat-v1_dev_00134,1
ynat-v1_dev_00135,1
ynat-v1_dev_00136,3
ynat-v1_dev_00137,2
ynat-v1_dev_00138,3
ynat-v1_dev_00139,2
ynat-v1_dev_00140,2
ynat-v1_dev_00141,1
ynat-v1_dev_00142,3
ynat-v1_dev_00143,3
ynat-v1_dev_00144,2
ynat-v1_dev_00145,3
ynat-v1_dev_00146,3
ynat-v1_dev_00147,2
ynat-v1_dev_00148,2
ynat-v1_dev_00149,1
ynat-v1_dev_00150,2
ynat-v1_dev_00151,2
ynat-v1_dev_00152,1
ynat-v1_dev_00153,6
ynat-v1_dev_00154,6
ynat-v1_dev_00155,2
ynat-v1_dev_00156,5
ynat-v1_dev_00157,2
ynat-v1_dev_00158,3
ynat-v1_dev_00159,2
ynat-v1_dev_00160,2
ynat-v1_dev_00161,0
ynat-v1_dev_00162,2
ynat-v1_dev_00163,2
ynat-v1_dev_00164,2
ynat-v1_dev_00165,2
ynat-v1_dev_00166,2
ynat-v1_dev_00167,1
ynat-v1_dev_00168,3
ynat-v1_dev_00169,1
ynat-v1_dev_00170,5
ynat-v1_dev_00171,3
ynat-v1_dev_00172,3
ynat-v1_dev_00173,2
ynat-v1_dev_00174,6
ynat-v1_dev_00175,2
ynat-v1_dev_00176,3
ynat-v1_dev_00177,4
ynat-v1_dev_00178,2
ynat-v1_dev_00179,2
ynat-v1_dev_00180,3
ynat-v1_dev_00181,2
ynat-v1_dev_00182,4
ynat-v1_dev_00183,5
ynat-v1_dev_00184,2
ynat-v1_dev_00185,6
ynat-v1_dev_00186,3
ynat-v1_dev_00187,2
ynat-v1_dev_00188,2
ynat-v1_dev_00189,2
ynat-v1_dev_00190,6
ynat-v1_dev_00191,2
ynat-v1_dev_00192,6
ynat-v1_dev_00193,2
ynat-v1_dev_00194,3
ynat-v1_dev_00195,2
ynat-v1_dev_00196,2
ynat-v1_dev_00197,3
ynat-v1_dev_00198,5
ynat-v1_dev_00199,4
ynat-v1_dev_00200,1
ynat-v1_dev_00201,3
ynat-v1_dev_00202,1
ynat-v1_dev_00203,5
ynat-v1_dev_00204,0
ynat-v1_dev_00205,2
ynat-v1_dev_00206,2
ynat-v1_dev_00207,2
ynat-v1_dev_00208,3
ynat-v1_dev_00209,1
ynat-v1_dev_00210,3
ynat-v1_dev_00211,1
ynat-v1_dev_00212,3
ynat-v1_dev_00213,3
ynat-v1_dev_00214,3
ynat-v1_dev_00215,5
ynat-v1_dev_00216,6
